若い女の子,不倫したい,若い<!--woman-y-->,年上の優しい男性と気持ちいいセックスをしたいから,f,s,y,FALSE,young-girl,193,若い 女の子 セックス,の
18歳,交際できる,合法な18歳の<!--woman-y-->,セックスを覚えたばかりで色々な男性とセックスしたいから,f,s,y,FALSE,eighteen,194,18歳 セックス,の
韓国人,彼氏がいる,韓国人の<!--woman-->,日本人男性とのセックスに興味があるから,f,s,n,FALSE,korean,195,韓国人 セックス,の
中国人,恋愛好きの,中国人の<!--woman-->,優しい日本人男性と仲良くなりたいから,f,s,n,FALSE,chinese,196,中国人 セックス,の
ロシア人,ウクライナや,ロシア人の<!--woman-->,真面目な日本人男性に魅力を感じているから,f,s,n,FALSE,russian,197,ロシア人 セックス,の
水商売,SEX好きな,水商売の<!--woman-o-->,夜遅くまで働いていてストレスが溜まっているから,j,s,n,FALSE,nightclub,198,水商売 セックス,の
女子高生,素人の,女子高生,優しい男性と満足できるセックスがしたいから,f,s,y,FALSE,high-school-student,199,女子高生 セックス,の
JK,エロい,JK,精神的に幼くて年上男性とのセックスに憧れているから,f,s,y,FALSE,jk,200,JK セックス,の
JC,ロリの,JC,ロリっぽい外見のためになかなかセックスの相手が見つからないから,f,s,y,FALSE,jc,201,JC セックス,の
ガテン系,引き締まった,ガテン系の<!--woman-->,性欲が有り余っていて満足できるくらいセックスしたいと考えているから,j,s,n,FALSE,physical-labor,202,ガテン系 セックス,の
婦人警官,良い体の,婦人警官,忙しくて厳しい仕事のストレスを解消できるのはセックスしかないから,j,s,n,FALSE,policewoman,203,婦人警官 セックス,の
ダンサー,エッチな,ダンサー,レッスンなどで忙しくてなかなか彼氏を作れずムラムラしているから,j,s,n,FALSE,dancer,204,ダンサー セックス,の
声優,巨乳の,女性声優,仕事柄彼氏を作りにくくて、セックスの相手に恵まれていないから,j,s,n,FALSE,voice-actor,205,声優 セックス,の
日本人,素人の,日本人<!--woman-n-->,セックスをするなら同じ日本人がやっぱりいいから,f,s,n,FALSE,japanese,206,日本人 セックス,の
ホテルウーマン,美人の,ホテルウーマン,時間が不規則な仕事なので、都合よくセックスできる男性を探しているから,j,s,n,FALSE,hotel-woman,207,ホテルウーマン セックス,の
デリヘル嬢,巨乳の,デリヘル嬢,仕事では本番ができなくて挿入までできる相手を探しているから,j,s,n,FALSE,prostitution,208,デリヘル嬢 セックス,の
